Ad ID ,Category ,Locations ,Car Makes,Car Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,Link,Title,Price,Year Used
9526563,Cars for Sale,Phnom Penh,Lexus,CT,2012.0,Tax Paper,New,Hatchback,Hybrid,Auto,Silver,https://www.khmer24.com/en/cars/ct-200h-f-sports-adid-9526563.html,CT 200h F Sports,"$22,500 ",11.0
8683722,Cars for Sale,Phnom Penh,Toyota,Prius,2007.0,Tax Paper,New,Hatchback,Hybrid,Auto,White,https://www.khmer24.com/en/cars/toyota-prius-2007-full-no-map-adid-8683722.html,Toyota Prius 2007 Full no map,"$15,300 ",16.0
9478775,Cars for Sale,Phnom Penh,Lexus,RX330,2006.0,Plate Number,Used,SUV,Petrol,Auto,Green,https://www.khmer24.com/en/cars/lexus-rx330-2006-pong2-adid-9478775.html,Lexus Rx330 2006 pong2,"$24,500 ",17.0
9521487,Cars for Sale,Phnom Penh,Kia,Ray,2018.0,Plate Number,Used,MPV (Minivan),Petrol,Auto,White,https://www.khmer24.com/en/cars/new-kia-ray-adid-9521487.html,New Kia RAY,"$16,000 ",5.0
9360353,Cars for Sale,Phnom Penh,Mitsubishi,Montero,1994.0,Plate Number,Used,SUV,Diesel,Auto,Green,https://www.khmer24.com/en/cars/mitsubishi-montero-for-sale-adid-9360353.html,Mitsubishi montero for sale,"$4,500 ",29.0
9062678,Cars for Sale,Phnom Penh,Mercedes-Benz,E-Class,2017.0,Plate Number,Used,Sedan,Petrol,Auto,White,https://www.khmer24.com/en/cars/mercedes-amg-package-e-class-300-year-2017-for-sale-adid-9062678.html,Mercedes AMG Package E-Class 300 ( Year 2017 ) for Sale,"$63,800 ",6.0
9547804,Cars for Sale,Phnom Penh,Ford,Ranger Wildtrak,2019.0,Plate Number,Used,Pickup,Diesel,Auto,White,https://www.khmer24.com/en/cars/ford-2019-wildtrak-adid-9547804.html,Ford 2019 wildtrak,"$34,500 ",4.0
9460616,Cars for Sale,Phnom Penh,Toyota,Prius,2002.0,Plate Number,Used,SUV,Petrol,Auto,Silver,https://www.khmer24.com/en/cars/%E1%9E%A1%E1%9E%93%E1%9E%98%E1%9E%85%E1%9E%9F%E1%9E%8A%E1%9E%98%E1%9E%9B%E1%9E%80-camary-le-2002-%E1%9E%A2%E1%9E%8Fabs-adid-9460616.html,ឡានម្ចាសដើមលក់ Camary Le 2002 អត់ABS,"$8,500 ",21.0
9520563,Cars for Sale,Phnom Penh,Toyota,Prius,2012.0,Tax Paper,New,SUV,Petrol,Auto,White,https://www.khmer24.com/en/cars/%E1%9E%87%E1%9E%8F%E1%9E%98%E1%9E%80%E1%9E%8A%E1%9E%9B%E1%9E%A0%E1%9E%99-prius-2012-%E1%9E%92%E1%9E%93%E1%9E%A1%E1%9E%93%E1%9E%90%E1%9E%98-%E1%9E%92%E1%9E%93%E1%9E%9A%E1%9E%94%E1%9E%85%E1%9E%98%E1%9E%9F%E1%9E%A2%E1%9E%8F-adid-9520563.html,ជិតមកដល់ហើយ Prius 2012 ធានាឡានថ្មី ធានារៀបចំម៉ាស្អាត,"$22,800 ",11.0
9500889,Cars for Sale,Phnom Penh,Lexus,RX400h,2007.0,Plate Number,New,SUV,Hybrid,Auto,White,https://www.khmer24.com/en/cars/rx400h-%E1%9E%86%E1%9E%93-07-%E1%9E%94%E1%9E%842-%E1%9E%94%E1%9E%84%E1%9E%97%E1%9E%9B%E1%9E%84-%E1%9E%98%E1%9E%85%E1%9E%9F%E1%9E%8A%E1%9E%98-adid-9500889.html,Rx400h ឆ្នាំ 07 ប៉ុង2 ប៉ុងភ្លើង ម្ចាស់ដើម,"$29,500 ",16.0
